# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
65400 47.6357 -45.1133
65500 45.9554 -48.2071
65600 48.7073 -46.9136
65700 46.4681 -48.2817
65800 46.2509 -45.5716
65900 48.2893 -46.5852
66000 48.0791 -48.6735
66100 46.697 -45.9898
66200 46.3637 -47.9993
66300 47.3726 -47.2815
66400 49.8654 -48.9677
66500 43.8709 -47.3113
66600 49.6413 -46.207
66700 48.464 -48.3071
66800 48.4071 -47.6979
66900 46.6249 -46.5446
67000 45.7611 -48.6136
67100 51.0465 -49.4338
67200 46.6714 -48.6038
67300 47.5559 -46.712
67400 47.8162 -47.4472
67500 50.8542 -49.2461
67600 47.9038 -47.0536
67700 46.1418 -48.7964
67800 48.6266 -47.7455
67900 48.8056 -50.8084
68000 47.836 -47.5855
68100 49.9349 -46.6087
68200 47.0811 -50.0758
68300 50.0421 -46.874
68400 49.136 -49.1546
68500 46.1261 -49.5321
68600 49.2344 -48.7112
68700 48.0091 -48.8339
68800 51.233 -49.211
68900 47.7457 -47.7622
69000 49.6663 -47.9878
69100 49.1146 -49.0477
69200 49.1065 -51.9029
69300 48.4321 -47.6445
69400 46.6679 -49.3328
69500 49.9272 -49.7922
69600 52.5924 -48.1154
69700 48.4431 -49.6758
69800 48.2126 -46.7545
69900 50.5593 -51.4396
70000 49.0616 -50.32
70100 48.8935 -49.8195
70200 46.9353 -49.2045
70300 52.1638 -49.9322
70400 49.8991 -49.0139
70500 50.4984 -48.863
70600 49.1859 -48.9657
70700 50.6348 -52.1085
70800 49.4773 -49.1372
70900 47.8465 -50.2577
71000 50.7993 -50.1372
71100 51.1797 -50.7138
71200 49.8194 -49.1747
71300 50.6572 -47.7666
71400 50.2881 -52.722
71500 49.6511 -51.4159
71600 50.3679 -49.0087
71700 49.5301 -50.3809
71800 51.5763 -52.4068
71900 50.1607 -48.7608
72000 51.9935 -49.173
72100 50.6632 -51.309
72200 50.4336 -52.0887
72300 49.5824 -49.5349
72400 50.1024 -51.7523
72500 51.76 -50.889
72600 51.3229 -51.9536
72700 50.7556 -49.1922
72800 51.9911 -50.3141
72900 50.738 -51.4159
73000 50.7878 -52.4976
73100 50.0036 -52.0035
73200 51.8389 -50.3974
73300 51.1712 -51.1816
73400 51.751 -51.2286
73500 52.2766 -50.8304
73600 51.7091 -50.5899
73700 50.9891 -52.0405
73800 50.1525 -52.8954
73900 51.4138 -52.2393
74000 51.6558 -50.5426
74100 51.7189 -51.8165
74200 53.3239 -51.1723
74300 52.9328 -51.5931
74400 50.2085 -49.9443
74500 52.1063 -53.2808
74600 51.4593 -55.3536
74700 51.4474 -51.8992
74800 50.7929 -49.1285
74900 53.6212 -52.2819
75000 54.5822 -53.6583
75100 52.2538 -50.536
75200 50.1557 -50.6865
75300 51.6653 -53.9697
75400 53.6989 -55.576
75500 50.6416 -50.9411
75600 52.1527 -50.913
75700 53.6859 -53.0729
75800 54.8079 -52.8992
75900 51.0665 -50.9232
76000 52.2023 -52.2625
76100 53.1554 -54.3746
76200 51.8735 -54.4193
76300 52.2871 -51.8094
76400 53.0333 -52.0057
76500 54.5603 -52.9065
76600 53.5887 -51.7291
76700 52.3071 -53.8373
76800 52.5694 -53.0151
76900 52.5844 -54.4928
77000 51.3967 -53.6182
77100 54.81 -53.1815
77200 53.6292 -52.4251
77300 54.8305 -51.6854
77400 52.6507 -53.1919
77500 54.0335 -54.8869
77600 53.0512 -53.3298
77700 51.6173 -54.4884
77800 53.4439 -53.886
77900 54.1429 -54.2921
78000 54.7914 -51.7587
78100 54.7275 -51.6766
78200 54.2642 -56.004
78300 53.1568 -54.5651
78400 52.6274 -53.1187
78500 52.5045 -55.6348
78600 55.7512 -54.3983
78700 53.6523 -52.4192
78800 55.3196 -53.2218
78900 55.7266 -53.3903
79000 53.7383 -55.7386
79100 52.9656 -53.621
79200 52.5058 -55.5512
79300 54.5584 -56.2297
79400 55.7733 -54.3226
79500 52.9467 -52.6148
79600 56.8805 -53.0986
79700 56.2808 -55.3426
79800 53.269 -54.3809
79900 52.9759 -54.3579
80000 55.0248 -57.4445
80100 55.2696 -55.4611
80200 53.7564 -53.5415
80300 55.1109 -53.4834
80400 57.9677 -55.3239
80500 55.2471 -54.8737
80600 53.2349 -54.3813
80700 53.6782 -56.0993
80800 56.0478 -57.7229
80900 55.2364 -54.1725
81000 53.808 -54.1127
81100 57.4322 -55.3565
81200 57.7503 -55.2121
81300 54.671 -54.6432
81400 53.5688 -54.7489
81500 55.0886 -58.2061
81600 55.7715 -56.9913
81700 55.5992 -54.3988
81800 54.6958 -54.7788
81900 57.8385 -55.7308
82000 57.5989 -55.0148
82100 54.6396 -55.6961
82200 55.3008 -55.8783
82300 54.7184 -58.5962
82400 55.8477 -55.6398
82500 57.3404 -56.351
82600 54.4875 -55.6533
82700 58.24 -53.6903
82800 56.6275 -56.2126
82900 57.0166 -57.4194
83000 55.3111 -55.1646
83100 52.878 -58.5631
83200 57.9223 -56.8862
83300 57.8265 -57.1129
83400 54.102 -54.7978
83500 58.4919 -54.1787
83600 58.0204 -57.7271
83700 57.4048 -57.2572
83800 54.9807 -55.3778
83900 53.4663 -59.0421
84000 58.4344 -57.0685
84100 57.7935 -57.3744
84200 55.3756 -54.9877
84300 59.3108 -55.3556
84400 58.1389 -57.9725
84500 56.1649 -57.2821
84600 55.0439 -56.0826
84700 56.1139 -60.1058
84800 58.3513 -57.4067
84900 56.9393 -56.0343
85000 56.6637 -56.5111
85100 60.5775 -56.4596
85200 57.3921 -57.5641
85300 56.0209 -56.3781
85400 57.1113 -58.6848
85500 56.6768 -60.4226
85600 57.325 -56.4787
85700 56.7454 -56.5317
85800 58.8499 -57.5111
85900 61.2123 -57.1625
86000 56.157 -56.8092
86100 57.1466 -57.0589
86200 57.1781 -59.9226
86300 57.0051 -60.7857
86400 57.2835 -56.662
86500 57.7185 -57.0702
86600 59.9201 -57.6852
86700 60.834 -57.5297
86800 57.3925 -56.8417
86900 56.9004 -58.3529
87000 56.7857 -59.8745
87100 57.8133 -60.7174
87200 58.4149 -57.9319
87300 58.3305 -57.1159
87400 60.1067 -56.4711
87500 60.1257 -58.4228
87600 58.5948 -58.1326
87700 56.834 -58.6583
87800 57.1368 -60.2128
87900 58.3678 -60.7457
88000 59.0957 -58.4591
88100 58.7789 -57.8299
88200 59.9288 -55.9392
88300 60.0694 -59.9139
88400 59.5124 -58.6871
88500 57.8066 -58.8555
88600 57.2653 -59.5909
88700 59.4344 -61.169
88800 59.2188 -60.4759
88900 58.0356 -57.4044
89000 60.5595 -56.971
89100 60.6592 -59.4892
89200 60.8732 -59.3443
89300 58.131 -57.8802
89400 57.0521 -60.882
89500 59.2195 -62.0996
89600 58.9393 -60.0883
89700 59.0041 -58.1143
89800 60.6126 -57.656
89900 62.7232 -59.3954
90000 59.8386 -59.1779
90100 58.3472 -59.065
90200 57.9096 -61.9693
90300 59.3953 -62.0512
90400 59.6842 -60.086
90500 59.7134 -57.9333
90600 61.6949 -59.1752
90700 61.5893 -58.5066
90800 60.2673 -59.6918
90900 59.005 -59.4313
91000 58.8451 -62.7011
91100 59.0595 -62.4272
91200 59.131 -59.0791
91300 61.4415 -59.1608
91400 61.6588 -59.2153
91500 61.3779 -60.1803
91600 60.0193 -59.2192
91700 60.643 -60.6615
91800 59.394 -62.088
91900 59.4095 -62.3336
92000 59.2434 -60.9928
92100 60.7913 -59.2006
92200 62.3011 -60.1964
92300 63.0158 -59.8396
92400 60.9533 -59.3985
92500 59.5092 -60.6001
92600 60.0319 -62.7766
92700 60.6165 -63.46
92800 59.2562 -60.2523
92900 60.8618 -60.1483
93000 61.8169 -60.5513
93100 63.6609 -60.4878
93200 61.7419 -59.7596
93300 60.057 -59.6654
93400 60.6273 -63.3205
93500 60.3774 -64.3445
93600 61.0603 -60.911
93700 59.3149 -60.3397
93800 63.4651 -60.4254
93900 63.9032 -60.883
94000 61.5873 -61.4562
94100 60.9425 -59.9478
94200 60.0979 -62.6719
94300 61.4004 -64.3866
94400 61.5049 -62.069
94500 60.5058 -61.3534
94600 62.665 -59.4005
94700 63.2189 -62.2958
94800 63.1564 -61.0873
94900 61.25 -61.1454
95000 60.7139 -62.5088
95100 61.8771 -63.8
95200 61.2543 -63.5747
95300 61.1009 -61.8417
95400 62.6196 -61.2905
95500 63.7196 -60.6762
95600 64.3465 -61.1853
95700 61.4251 -62.0324
95800 61.9683 -63.659
95900 60.482 -62.9935
96000 62.0255 -64.1544
96100 62.2775 -61.8354
96200 63.346 -63.0257
96300 62.9794 -60.0327
96400 63.7458 -62.2953
96500 62.2766 -61.6458
96600 63.9844 -63.6728
96700 60.2732 -63.3361
96800 62.2917 -63.7844
96900 62.6422 -62.7538
97000 63.7552 -64.9249
97100 63.9178 -60.4621
97200 63.4942 -62.094
97300 63.3119 -61.6232
97400 63.4198 -64.0316
97500 61.7883 -64.4593
97600 62.2408 -62.9397
97700 60.8682 -63.8084
97800 64.7093 -63.3614
97900 64.6751 -63.68
98000 63.8761 -61.384
98100 63.4926 -61.2061
98200 63.4131 -64.4704
98300 64.4934 -65.9344
98400 61.0308 -63.7674
98500 61.2395 -62.3774
98600 64.4252 -64.6213
98700 65.2537 -64.624
98800 63.5469 -61.1034
98900 63.704 -61.1668
99000 65.3887 -64.7095
99100 64.6711 -64.6688
99200 61.3559 -65.6883
99300 61.701 -64.0989
99400 63.4231 -64.1761
99500 65.9386 -64.19
99600 66.3828 -61.715
99700 63.8123 -62.6659
99800 62.5655 -63.5542
