# Time-averaged data for fix at1
# TimeStep v_pos
129000 33.9176
129100 33.9206
129200 33.9236
129300 33.9266
129400 33.9296
129500 33.9326
129600 33.9356
129700 33.9386
129800 33.9416
129900 33.9446
130000 33.9476
130100 33.9506
130200 33.9536
130300 33.9566
130400 33.9596
130500 33.9626
130600 33.9656
130700 33.9686
130800 33.9716
130900 33.9746
131000 33.9776
131100 33.9806
131200 33.9836
131300 33.9866
131400 33.9896
131500 33.9926
131600 33.9956
131700 33.9986
131800 34.0016
131900 34.0046
132000 34.0076
132100 34.0106
132200 34.0136
132300 34.0166
132400 34.0196
132500 34.0226
132600 34.0256
132700 34.0286
132800 34.0316
132900 34.0346
133000 34.0376
133100 34.0406
133200 34.0436
133300 34.0466
133400 34.0496
133500 34.0526
133600 34.0556
133700 34.0586
133800 34.0616
133900 34.0646
134000 34.0676
134100 34.0706
134200 34.0736
134300 34.0766
134400 34.0796
134500 34.0826
134600 34.0856
134700 34.0886
134800 34.0916
134900 34.0946
135000 34.0976
135100 34.1006
135200 34.1036
135300 34.1066
135400 34.1096
135500 34.1126
135600 34.1156
135700 34.1186
135800 34.1216
135900 34.1246
136000 34.1276
136100 34.1306
136200 34.1336
136300 34.1366
136400 34.1396
136500 34.1426
136600 34.1456
136700 34.1486
136800 34.1516
136900 34.1546
137000 34.1576
137100 34.1606
137200 34.1636
137300 34.1666
137400 34.1696
137500 34.1726
137600 34.1756
137700 34.1786
137800 34.1816
137900 34.1846
138000 34.1876
138100 34.1906
138200 34.1936
138300 34.1966
138400 34.1996
138500 34.2026
138600 34.2056
138700 34.2086
138800 34.2116
138900 34.2146
139000 34.2176
139100 34.2206
139200 34.2236
139300 34.2266
139400 34.2296
139500 34.2326
139600 34.2356
139700 34.2386
139800 34.2416
139900 34.2446
140000 34.2476
140100 34.2506
140200 34.2536
140300 34.2566
140400 34.2596
140500 34.2626
140600 34.2656
140700 34.2686
140800 34.2716
140900 34.2746
141000 34.2776
141100 34.2806
141200 34.2836
141300 34.2866
141400 34.2896
141500 34.2926
141600 34.2956
141700 34.2986
141800 34.3016
141900 34.3046
142000 34.3076
142100 34.3106
142200 34.3136
142300 34.3166
142400 34.3196
142500 34.3226
142600 34.3256
142700 34.3286
142800 34.3316
142900 34.3346
143000 34.3376
143100 34.3406
143200 34.3436
143300 34.3466
143400 34.3496
143500 34.3526
143600 34.3556
143700 34.3586
143800 34.3616
143900 34.3646
144000 34.3676
144100 34.3706
144200 34.3736
144300 34.3766
144400 34.3796
144500 34.3826
144600 34.3856
144700 34.3886
144800 34.3916
144900 34.3946
145000 34.3976
145100 34.4006
145200 34.4036
145300 34.4066
145400 34.4096
145500 34.4126
145600 34.4156
145700 34.4186
145800 34.4216
145900 34.4246
146000 34.4276
146100 34.4306
146200 34.4336
146300 34.4366
146400 34.4396
146500 34.4426
146600 34.4456
146700 34.4486
146800 34.4516
146900 34.4546
147000 34.4576
147100 34.4606
147200 34.4636
147300 34.4666
147400 34.4696
147500 34.4726
147600 34.4756
147700 34.4786
147800 34.4816
147900 34.4846
148000 34.4876
148100 34.4906
148200 34.4936
148300 34.4966
148400 34.4996
148500 34.5026
148600 34.5056
148700 34.5086
148800 34.5116
148900 34.5146
149000 34.5176
149100 34.5206
149200 34.5236
149300 34.5266
149400 34.5296
149500 34.5326
149600 34.5356
149700 34.5386
149800 34.5416
149900 34.5446
150000 34.5476
150100 34.5506
150200 34.5536
150300 34.5566
150400 34.5596
150500 34.5626
150600 34.5656
150700 34.5686
150800 34.5716
150900 34.5746
151000 34.5776
151100 34.5806
151200 34.5836
151300 34.5866
151400 34.5896
151500 34.5926
151600 34.5956
151700 34.5986
151800 34.6016
151900 34.6046
152000 34.6076
152100 34.6106
152200 34.6136
152300 34.6166
152400 34.6196
152500 34.6226
152600 34.6256
152700 34.6286
152800 34.6316
152900 34.6346
153000 34.6376
153100 34.6406
153200 34.6436
153300 34.6466
153400 34.6496
153500 34.6526
153600 34.6556
153700 34.6586
153800 34.6616
153900 34.6646
154000 34.6676
154100 34.6706
154200 34.6736
154300 34.6766
154400 34.6796
154500 34.6826
154600 34.6856
154700 34.6886
154800 34.6916
154900 34.6946
155000 34.6976
155100 34.7006
155200 34.7036
155300 34.7066
155400 34.7096
155500 34.7126
155600 34.7156
155700 34.7186
155800 34.7216
155900 34.7246
156000 34.7276
156100 34.7306
156200 34.7336
156300 34.7366
156400 34.7396
156500 34.7426
156600 34.7456
156700 34.7486
156800 34.7516
156900 34.7546
157000 34.7576
157100 34.7606
157200 34.7636
157300 34.7666
157400 34.7696
157500 34.7726
157600 34.7756
157700 34.7786
157800 34.7816
157900 34.7846
158000 34.7876
158100 34.7906
158200 34.7936
158300 34.7966
158400 34.7996
158500 34.8026
158600 34.8056
158700 34.8086
158800 34.8116
158900 34.8146
159000 34.8176
159100 34.8206
159200 34.8236
159300 34.8266
159400 34.8296
159500 34.8326
159600 34.8356
159700 34.8386
159800 34.8416
159900 34.8446
160000 34.8476
160100 34.8506
160200 34.8536
160300 34.8566
160400 34.8596
160500 34.8626
160600 34.8656
160700 34.8686
160800 34.8716
160900 34.8746
161000 34.8776
161100 34.8806
161200 34.8836
161300 34.8866
161400 34.8896
161500 34.8926
161600 34.8956
161700 34.8986
161800 34.9016
161900 34.9046
162000 34.9076
162100 34.9106
162200 34.9136
162300 34.9166
162400 34.9196
162500 34.9226
162600 34.9256
162700 34.9286
162800 34.9316
162900 34.9346
163000 34.9376
163100 34.9406
163200 34.9436
163300 34.9466
163400 34.9496
163500 34.9526
163600 34.9556
163700 34.9586
163800 34.9616
163900 34.9646
164000 34.9676
164100 34.9706
164200 34.9736
164300 34.9766
164400 34.9796
164500 34.9826
164600 34.9856
164700 34.9886
164800 34.9916
164900 34.9946
165000 34.9976
165100 35.0006
165200 35.0036
165300 35.0066
165400 35.0096
165500 35.0126
165600 35.0156
165700 35.0186
165800 35.0216
165900 35.0246
166000 35.0276
166100 35.0306
166200 35.0336
166300 35.0366
166400 35.0396
166500 35.0426
166600 35.0456
166700 35.0486
166800 35.0516
166900 35.0546
167000 35.0576
167100 35.0606
167200 35.0636
167300 35.0666
167400 35.0696
167500 35.0726
167600 35.0756
167700 35.0786
167800 35.0816
167900 35.0846
168000 35.0876
168100 35.0906
168200 35.0936
168300 35.0966
168400 35.0996
168500 35.1026
168600 35.1056
168700 35.1086
168800 35.1116
168900 35.1146
169000 35.1176
169100 35.1206
169200 35.1236
169300 35.1266
169400 35.1296
169500 35.1326
169600 35.1356
169700 35.1386
169800 35.1416
169900 35.1446
170000 35.1476
170100 35.1506
170200 35.1536
170300 35.1566
170400 35.1596
170500 35.1626
170600 35.1656
170700 35.1686
170800 35.1716
170900 35.1746
171000 35.1776
171100 35.1806
171200 35.1836
171300 35.1866
171400 35.1896
171500 35.1926
171600 35.1956
171700 35.1986
171800 35.2016
171900 35.2046
172000 35.2076
172100 35.2106
172200 35.2136
172300 35.2166
172400 35.2196
172500 35.2226
172600 35.2256
172700 35.2286
172800 35.2316
172900 35.2346
173000 35.2376
173100 35.2406
173200 35.2436
173300 35.2466
173400 35.2496
173500 35.2526
173600 35.2556
173700 35.2586
173800 35.2616
173900 35.2646
174000 35.2676
174100 35.2706
174200 35.2736
174300 35.2766
174400 35.2796
174500 35.2826
174600 35.2856
174700 35.2886
